,Date,Ticker,Dividend
0,2020-01-02 00:00:00-05:00,NTAP,0.48
1,2020-01-02 00:00:00-05:00,CVBF,0.18
2,2020-01-02 00:00:00-05:00,BTLCY,0.103
3,2020-01-02 00:00:00-05:00,EXPGY,0.145
4,2020-01-02 00:00:00-05:00,BMY,0.45
5,2020-01-02 00:00:00-05:00,RGLD,0.28
6,2020-01-02 00:00:00-05:00,OC,0.24
7,2020-01-02 00:00:00-05:00,CSCO,0.35
8,2020-01-02 00:00:00-05:00,KDP,0.15
9,2020-01-02 00:00:00-05:00,AEO,0.138
10,2020-01-02 00:00:00-05:00,APLE,0.1
11,2020-01-02 00:00:00-05:00,FCPT,0.305
12,2020-01-02 00:00:00-05:00,SYY,0.45
13,2020-01-02 00:00:00-05:00,GL,0.173
14,2020-01-02 00:00:00-05:00,WDC,0.5
15,2020-01-02 00:00:00-05:00,AXP,0.43
16,2020-01-02 00:00:00-05:00,WSR,0.095
17,2020-01-02 00:00:00-05:00,MORN,0.3
18,2020-01-02 00:00:00-05:00,HLIO,0.09
19,2020-01-02 00:00:00-05:00,CUZ,0.29
20,2020-01-02 00:00:00-05:00,AIR,0.075
21,2020-01-02 00:00:00-05:00,CLF,0.06
22,2020-01-02 00:00:00-05:00,HBNC,0.12
23,2020-01-03 00:00:00-05:00,WERN,0.09
24,2020-01-03 00:00:00-05:00,CXW,0.44
25,2020-01-03 00:00:00-05:00,RDEIY,0.151
26,2020-01-03 00:00:00-05:00,HIFS,1.01
27,2020-01-03 00:00:00-05:00,JPM,0.9
28,2020-01-03 00:00:00-05:00,BRX,0.285
29,2020-01-03 00:00:00-05:00,DIT,0.28
30,2020-01-06 00:00:00-05:00,ERIE,0.965
31,2020-01-06 00:00:00-05:00,PFBC,0.3
32,2020-01-06 00:00:00-05:00,BNS,0.692
33,2020-01-06 00:00:00-05:00,DG,0.32
34,2020-01-06 00:00:00-05:00,GBCI,0.2
35,2020-01-06 00:00:00-05:00,FNLC,0.3
36,2020-01-07 00:00:00-05:00,IDCC,0.35
37,2020-01-07 00:00:00-05:00,NYT,0.05
38,2020-01-07 00:00:00-05:00,PGR,2.35
39,2020-01-07 00:00:00-05:00,ACU,0.12
40,2020-01-07 00:00:00-05:00,THFF,0.52
41,2020-01-07 00:00:00-05:00,CPB,0.35
42,2020-01-07 00:00:00-05:00,BDN,0.19
43,2020-01-07 00:00:00-05:00,GNTX,0.115
44,2020-01-07 00:00:00-05:00,FLIC,0.18
45,2020-01-07 00:00:00-05:00,CMCSA,0.21
46,2020-01-08 00:00:00-05:00,MA,0.4
47,2020-01-08 00:00:00-05:00,ROP,0.513
48,2020-01-08 00:00:00-05:00,GPAGF,0.006
49,2020-01-08 00:00:00-05:00,RVSB,0.05
50,2020-01-08 00:00:00-05:00,JOUT,0.17
51,2020-01-08 00:00:00-05:00,BANR,1.41
52,2020-01-08 00:00:00-05:00,IMKTA,0.165
53,2020-01-08 00:00:00-05:00,KAI,0.23
54,2020-01-08 00:00:00-05:00,HEI,0.08
55,2020-01-08 00:00:00-05:00,ORCL,0.24
56,2020-01-09 00:00:00-05:00,PKBK,0.145455
57,2020-01-09 00:00:00-05:00,OGE,0.388
58,2020-01-09 00:00:00-05:00,MAS,0.135
59,2020-01-09 00:00:00-05:00,VZ,0.615
60,2020-01-09 00:00:00-05:00,UDR,0.343
61,2020-01-09 00:00:00-05:00,WSBF,0.12
62,2020-01-09 00:00:00-05:00,LNC,0.4
63,2020-01-09 00:00:00-05:00,LSTR,2.0
64,2020-01-09 00:00:00-05:00,T,0.52
65,2020-01-09 00:00:00-05:00,PLAY,0.16
66,2020-01-09 00:00:00-05:00,FRD,0.02
67,2020-01-09 00:00:00-05:00,BKE,1.55
68,2020-01-09 00:00:00-05:00,DRI,0.88
69,2020-01-09 00:00:00-05:00,BRC,0.218
70,2020-01-09 00:00:00-05:00,TOL,0.11
71,2020-01-09 00:00:00-05:00,EBF,0.225
72,2020-01-09 00:00:00-05:00,GIS,0.49
73,2020-01-09 00:00:00-05:00,IBDRY,0.745
74,2020-01-09 00:00:00-05:00,OSW,0.04
75,2020-01-09 00:00:00-05:00,INTU,0.53
76,2020-01-09 00:00:00-05:00,HTHT,0.34
77,2020-01-09 00:00:00-05:00,TD,0.568
78,2020-01-09 00:00:00-05:00,PDCO,0.26
79,2020-01-10 00:00:00-05:00,GROW,0.003
80,2020-01-10 00:00:00-05:00,CNOB,0.09
81,2020-01-10 00:00:00-05:00,HRL,0.233
82,2020-01-10 00:00:00-05:00,PPRUY,0.388
83,2020-01-10 00:00:00-05:00,EVV,0.1
84,2020-01-10 00:00:00-05:00,CEV,0.045
85,2020-01-10 00:00:00-05:00,UVV,0.76
86,2020-01-10 00:00:00-05:00,SCVL,0.0425
87,2020-01-10 00:00:00-05:00,EVY,0.0433
88,2020-01-10 00:00:00-05:00,GNL,0.533
89,2020-01-13 00:00:00-05:00,ERH,0.079
90,2020-01-13 00:00:00-05:00,DGX,0.53
91,2020-01-13 00:00:00-05:00,BKU,0.21
92,2020-01-13 00:00:00-05:00,ERC,0.099
93,2020-01-13 00:00:00-05:00,EAD,0.059
94,2020-01-14 00:00:00-05:00,WGO,0.11
95,2020-01-14 00:00:00-05:00,CAC,0.33
96,2020-01-14 00:00:00-05:00,DMF,0.035
97,2020-01-14 00:00:00-05:00,FCX,0.05
98,2020-01-14 00:00:00-05:00,CHCO,0.57
99,2020-01-14 00:00:00-05:00,TRN,0.19
100,2020-01-14 00:00:00-05:00,CMTL,0.1
101,2020-01-14 00:00:00-05:00,ABT,0.36
102,2020-01-14 00:00:00-05:00,IEX,0.5
103,2020-01-14 00:00:00-05:00,NWFL,0.25
104,2020-01-14 00:00:00-05:00,MAA,1.0
105,2020-01-14 00:00:00-05:00,EGBN,0.22
106,2020-01-14 00:00:00-05:00,CLM,0.185
107,2020-01-14 00:00:00-05:00,CRF,0.18
108,2020-01-14 00:00:00-05:00,BELFA,0.06
109,2020-01-14 00:00:00-05:00,ACA,0.05
110,2020-01-14 00:00:00-05:00,BELFB,0.07
111,2020-01-14 00:00:00-05:00,ARR,0.85
112,2020-01-14 00:00:00-05:00,FUNC,0.13
113,2020-01-14 00:00:00-05:00,RGCO,0.175
114,2020-01-14 00:00:00-05:00,ABBV,1.18
115,2020-01-14 00:00:00-05:00,AFG,0.45
116,2020-01-14 00:00:00-05:00,CMC,0.12
117,2020-01-15 00:00:00-05:00,WSO,1.6
118,2020-01-15 00:00:00-05:00,ALG,0.13
119,2020-01-15 00:00:00-05:00,RPM,0.36
120,2020-01-15 00:00:00-05:00,GGN,0.05
121,2020-01-15 00:00:00-05:00,ACN,0.8
122,2020-01-15 00:00:00-05:00,GLU,0.1
123,2020-01-15 00:00:00-05:00,AMADY,0.623
124,2020-01-16 00:00:00-05:00,SAIC,0.37
125,2020-01-16 00:00:00-05:00,FL,0.38
126,2020-01-16 00:00:00-05:00,SSEZY,0.31
127,2020-01-16 00:00:00-05:00,PNC,1.15
128,2020-01-16 00:00:00-05:00,ASHTY,0.375
129,2020-01-16 00:00:00-05:00,ZTS,0.2
130,2020-01-16 00:00:00-05:00,EOG,0.288
131,2020-01-16 00:00:00-05:00,CBRL,1.3
132,2020-01-16 00:00:00-05:00,GD,1.02
133,2020-01-16 00:00:00-05:00,GWRS,0.024
134,2020-01-16 00:00:00-05:00,AYI,0.13
135,2020-01-16 00:00:00-05:00,DHY,0.017
136,2020-01-16 00:00:00-05:00,PBHC,0.06
137,2020-01-16 00:00:00-05:00,KWR,0.385
138,2020-01-16 00:00:00-05:00,BFS,0.53
139,2020-01-16 00:00:00-05:00,MGRC,0.375
140,2020-01-16 00:00:00-05:00,EME,0.08
141,2020-01-16 00:00:00-05:00,CIK,0.023
142,2020-01-16 00:00:00-05:00,OXM,0.37
143,2020-01-16 00:00:00-05:00,WDFC,0.67
144,2020-01-16 00:00:00-05:00,MEI,0.11
145,2020-01-16 00:00:00-05:00,OZK,0.26
146,2020-01-16 00:00:00-05:00,CMPGY,0.352
147,2020-01-16 00:00:00-05:00,GLBZ,0.1
148,2020-01-16 00:00:00-05:00,HRZN,0.1
149,2020-01-17 00:00:00-05:00,GLO,0.09
150,2020-01-17 00:00:00-05:00,PKE,1.0
151,2020-01-17 00:00:00-05:00,ENLAY,0.177
152,2020-01-17 00:00:00-05:00,GLQ,0.11
153,2020-01-17 00:00:00-05:00,CIVB,0.11
154,2020-01-17 00:00:00-05:00,SNMRY,0.211
155,2020-01-17 00:00:00-05:00,FAX,0.028
156,2020-01-17 00:00:00-05:00,CMRE,0.1
157,2020-01-17 00:00:00-05:00,GGG,0.175
158,2020-01-17 00:00:00-05:00,GLV,0.101
159,2020-01-17 00:00:00-05:00,FCO,0.07
160,2020-01-17 00:00:00-05:00,CAT,1.03
161,2020-01-17 00:00:00-05:00,GOFPY,0.555
162,2020-01-21 00:00:00-05:00,MSM,5.75
163,2020-01-21 00:00:00-05:00,LOW,0.55
164,2020-01-21 00:00:00-05:00,WST,0.16
165,2020-01-21 00:00:00-05:00,APA,0.25
166,2020-01-22 00:00:00-05:00,COO,0.0075
167,2020-01-22 00:00:00-05:00,CL,0.43
168,2020-01-22 00:00:00-05:00,LTC,0.19
169,2020-01-22 00:00:00-05:00,CVS,0.5
170,2020-01-23 00:00:00-05:00,VFL,0.043
171,2020-01-23 00:00:00-05:00,EIM,0.043
172,2020-01-23 00:00:00-05:00,COKE,0.25
173,2020-01-23 00:00:00-05:00,WSM,0.24
174,2020-01-23 00:00:00-05:00,SNX,0.2
175,2020-01-23 00:00:00-05:00,BUSE,0.22
176,2020-01-23 00:00:00-05:00,CLCGY,0.468
177,2020-01-23 00:00:00-05:00,FSP,0.09
178,2020-01-23 00:00:00-05:00,PG,0.746
179,2020-01-23 00:00:00-05:00,ENX,0.039
180,2020-01-23 00:00:00-05:00,OVBC,0.21
181,2020-01-23 00:00:00-05:00,DCOM,0.24
182,2020-01-23 00:00:00-05:00,DX,0.15
183,2020-01-23 00:00:00-05:00,LKFN,0.3
184,2020-01-23 00:00:00-05:00,LAND,0.045
185,2020-01-23 00:00:00-05:00,KALU,0.67
186,2020-01-23 00:00:00-05:00,CLB,0.25
187,2020-01-23 00:00:00-05:00,NVT,0.175
188,2020-01-23 00:00:00-05:00,EVM,0.037
189,2020-01-23 00:00:00-05:00,GOOD,0.125
190,2020-01-23 00:00:00-05:00,PNR,0.19
191,2020-01-24 00:00:00-05:00,GSBC,1.0
192,2020-01-24 00:00:00-05:00,VNO,0.66
193,2020-01-24 00:00:00-05:00,SVC,0.54
194,2020-01-24 00:00:00-05:00,WIT,0.014
195,2020-01-24 00:00:00-05:00,CZNC,0.27
196,2020-01-24 00:00:00-05:00,SPFI,0.03
197,2020-01-24 00:00:00-05:00,OPI,0.55
198,2020-01-24 00:00:00-05:00,OKE,0.935
199,2020-01-24 00:00:00-05:00,ILPT,0.33
200,2020-01-24 00:00:00-05:00,UNB,0.32
201,2020-01-24 00:00:00-05:00,ALX,4.5
202,2020-01-24 00:00:00-05:00,RY,0.8
203,2020-01-24 00:00:00-05:00,SLP,0.06
204,2020-01-24 00:00:00-05:00,HFBL,0.08
205,2020-01-24 00:00:00-05:00,VALU,0.2
206,2020-01-24 00:00:00-05:00,RMR,0.38
207,2020-01-24 00:00:00-05:00,BK,0.31
208,2020-01-27 00:00:00-05:00,GBX,0.27
209,2020-01-28 00:00:00-05:00,CLX,1.06
210,2020-01-28 00:00:00-05:00,CFG,0.39
211,2020-01-28 00:00:00-05:00,MMC,0.455
212,2020-01-28 00:00:00-05:00,ATR,0.36
213,2020-01-28 00:00:00-05:00,ENTG,0.08
214,2020-01-28 00:00:00-05:00,VSEC,0.09
215,2020-01-29 00:00:00-05:00,FUL,0.16
216,2020-01-29 00:00:00-05:00,F,0.15
