,Symbol,Security Name,Price
0,AACBR,Artius II Acquisition Inc. - Rights,0.23989999294281006
1,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",0.9200000166893005
2,AAME,Atlantic American Corporation - Common Stock,1.7200000286102295
3,ABAT,American Battery Technology Company - Common Stock,1.5499999523162842
4,ABCL,AbCellera Biologics Inc. - Common Shares,2.0299999713897705
5,ABLLW,"Abacus Global Management, Inc. - Warrant",1.850000023841858
6,ABLV,Able View Global Inc. - Class B Ordinary Shares,1.2200000286102295
7,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",1.0700000524520874
8,ABP,"Abpro Holdings, Inc - Common Stock",0.23000000417232513
9,ABPWW,"Abpro Holdings, Inc - Warrant",0.019999999552965164
10,ABSI,Absci Corporation - Common Stock,2.880000114440918
11,ABTS,Abits Group Inc - Ordinary Shares,3.7899999618530273
12,ABUS,Arbutus Biopharma Corporation - Common Stock,3.0799999237060547
13,ABVC,"ABVC BioPharma, Inc. - Common Stock",1.4800000190734863
14,ABVE,Above Food Ingredients Inc. - Common Stock,1.3200000524520874
15,ABVEW,Above Food Ingredients Inc. - Warrant,0.0430000014603138
16,ACET,"Adicet Bio, Inc. - Common Stock",0.7770000100135803
17,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",3.0799999237060547
18,ACIU,AC Immune SA - Common Stock,1.7100000381469727
19,ACONW,"Aclarion, Inc. - Warrant",0.03689999878406525
20,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",1.309999942779541
21,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",1.149999976158142
22,ACTG,Acacia Research Corporation - Common Stock,3.7200000286102295
23,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",0.3869999945163727
24,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",1.7699999809265137
25,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,0.27799999713897705
26,ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",0.9200000166893005
27,ADGM,"Adagio Medical Holdings, Inc - Common Stock",1.1799999475479126
28,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",0.6600000262260437
29,ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",2.4000000953674316
30,ADNWW,"Advent Technologies Holdings, Inc. - Warrant",0.008299999870359898
31,ADSEW,ADS-TEC ENERGY PLC - Warrant,2.049499988555908
32,ADTX,"Aditxt, Inc. - Common Stock",1.659999966621399
33,ADV,Advantage Solutions Inc.  - Class A Common Stock,1.2599999904632568
34,ADVB,Advanced Biomed Inc. - Common Stock,1.2699999809265137
35,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",2.115000009536743
36,ADVWW,Advantage Solutions Inc.  - Warrant,0.012900000438094139
37,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,2.819999933242798
38,AEI,Alset Inc. - Common Stock,0.9480000138282776
39,AEMD,"Aethlon Medical, Inc. - Common Stock",0.4000000059604645
40,AENT,Alliance Entertainment Holding Corporation - common stock,2.9200000762939453
41,AENTW,Alliance Entertainment Holding Corporation - Warrants,0.18000000715255737
42,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",0.6600000262260437
43,AERTW,"Aeries Technology, Inc. - Warrant",0.012000000104308128
44,AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",0.13609999418258667
45,AFJKR,"Aimei Health Technology Co., Ltd - Right",0.22120000422000885
46,AFMD,Affimed N.V. - Common Stock,0.27900001406669617
47,AFRIW,Forafric Global PLC - Warrants,0.4099999964237213
48,AGAE,Allied Gaming & Entertainment Inc. - Common Stock,1.7799999713897705
49,AGEN,Agenus Inc. - Common Stock,3.4800000190734863
50,AGH,Aureus Greenway Holdings Inc. - Common Stock,0.5910000205039978
51,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,0.06700000166893005
52,AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares,1.7200000286102295
53,AHG,Akso Health Group - American Depositary Shares,1.5700000524520874
54,AIFER,Aifeex Nexus Acquisition Corporation - Right,0.20010000467300415
55,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",3.4800000190734863
56,AIFU,AIFU Inc. - American Depositary Shares,0.18000000715255737
57,AIHS,Senmiao Technology Limited - Common Stock,0.9380000233650208
58,AIMD,"Ainos, Inc. - Common Stock",0.5440000295639038
59,AIMDW,"Ainos, Inc. - warrants",0.15360000729560852
60,AIRE,reAlpha Tech Corp. - Common Stock,0.5770000219345093
61,AIRG,"Airgain, Inc. - Common Stock",4.190000057220459
62,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,4.420000076293945
63,AIRJW,AirJoule Technologies Corporation - Warrant,0.5899999737739563
64,AIRS,"AirSculpt Technologies, Inc. - Common Stock",3.569999933242798
65,AISP,"Airship AI Holdings, Inc - Class A Common Stock",4.429999828338623
66,AISPW,"Airship AI Holdings, Inc - Warrants",1.190000057220459
67,AIXI,XIAO-I Corporation - American Depositary Shares,3.4700000286102295
68,AKAN,Akanda Corp. - Common Shares,1.2000000476837158
69,AKBA,"Akebia Therapeutics, Inc. - Common Stock",2.609999895095825
70,AKTX,Akari Therapeutics Plc - American Depositary Shares,1.2699999809265137
71,AKYA,"Akoya BioSciences, Inc. - Common Stock",1.0299999713897705
72,ALBT,Avalon GloboCare Corp. - Common Stock,3.7200000286102295
73,ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,0.1599999964237213
74,ALDFW,Aldel Financial II Inc. - Warrants,0.3700000047683716
75,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",2.1600000858306885
76,ALEC,"Alector, Inc. - Common Stock",1.2200000286102295
77,ALLO,"Allogene Therapeutics, Inc. - Common Stock",1.1100000143051147
78,ALLR,"Allarity Therapeutics, Inc. - Common stock",1.0399999618530273
79,ALTI,"AlTi Global, Inc. - Class A Common Stock",3.440000057220459
80,ALTO,"Alto Ingredients, Inc. - Common Stock",0.9100000262260437
81,ALXO,ALX Oncology Holdings Inc. - Common Stock,0.43700000643730164
82,ALZN,"Alzamend Neuro, Inc. - Common Stock",3.4000000953674316
83,AMIX,"Autonomix Medical, Inc. - Common Stock",1.9500000476837158
84,AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",4.840000152587891
85,AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",1.3300000429153442
86,AMODW,"Alpha Modus Holdings, Inc. - Warrant",0.07000000029802322
87,AMPG,"Amplitech Group, Inc. - Common Stock",2.059999942779541
88,AMPGW,"Amplitech Group, Inc. - Warrants",0.49900001287460327
89,AMST,Amesite Inc. - Common Stock,3.359999895095825
90,AMTX,"Aemetis, Inc - Common Stock",1.7000000476837158
91,ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",1.0199999809265137
92,ANGH,Anghami Inc. - Ordinary Shares,0.5899999737739563
93,ANGHW,Anghami Inc. - Warrants,0.01769999973475933
94,ANIX,"Anixa Biosciences, Inc. - Common Stock",2.6500000953674316
95,ANL,Adlai Nortye Ltd. - American Depositary Shares,1.850000023841858
96,ANNAW,"AleAnna, Inc. - Warrant",0.23999999463558197
97,ANNX,"Annexon, Inc. - common stock",2.009999990463257
98,ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,0.1899999976158142
99,ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares",0.75
100,ANTX,"AN2 Therapeutics, Inc. - Common Stock",1.2100000381469727
101,ANY,Sphere 3D Corp. - Common Shares,0.8379999995231628
102,APCX,AppTech Payments Corp. - Common stock,0.25699999928474426
103,APCXW,AppTech Payments Corp. - Warrant,0.08749999850988388
104,APDN,"Applied DNA Sciences, Inc. - Common Stock",0.6700000166893005
105,API,"Agora, Inc. - ADS",3.5
106,APLM,Apollomics Inc. - Class A Ordinary Shares,4.889999866485596
107,APLMW,Apollomics Inc. - Warrant,0.026000000536441803
108,APLT,"Applied Therapeutics, Inc. - Common Stock",0.6029999852180481
109,APM,Aptorum Group Limited - Class A Ordinary Shares,0.9520000219345093
110,APPS,"Digital Turbine, Inc. - Common Stock",4.619999885559082
111,APRE,"Aprea Therapeutics, Inc. - Common Stock",1.8600000143051147
112,APVO,Aptevo Therapeutics Inc. - Common Stock,0.3199999928474426
113,APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",1.559999942779541
114,APYX,Apyx Medical Corporation - Common Stock,1.4299999475479126
115,AQB,"AquaBounty Technologies, Inc. - Common Stock",0.781000018119812
116,AQMS,"Aqua Metals, Inc. - Common Stock",1.100000023841858
117,AQST,"Aquestive Therapeutics, Inc. - Common Stock",2.380000114440918
118,ARAY,Accuray Incorporated - Common Stock,1.6200000047683716
119,ARBB,ARB IOT Group Limited - Ordinary Shares,0.6200000047683716
120,ARBE,Arbe Robotics Ltd. - Ordinary Shares,1.7699999809265137
121,ARBEW,Arbe Robotics Ltd. - Warrant,0.28999999165534973
122,ARBK,Argo Blockchain plc - American Depositary Shares,0.4659999907016754
123,ARDX,"Ardelyx, Inc. - Common Stock",3.880000114440918
124,AREB,"American Rebel Holdings, Inc. - Common Stock",2.4800000190734863
125,AREBW,"American Rebel Holdings, Inc. - warrants",0.017999999225139618
126,AREC,American Resources Corporation - Class A Common Stock,0.9309999942779541
127,ARKOW,ARKO Corp. - Warrant,0.023900000378489494
128,ARQ,"Arq, Inc. - Common Stock",4.679999828338623
129,ARQQW,Arqit Quantum Inc. - Warrants,0.3700000047683716
130,ARTL,"Artelo Biosciences, Inc. - Common Stock",0.9200000166893005
131,ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",2.0299999713897705
132,ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",1.7799999713897705
133,ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",0.24899999797344208
134,ASBPW,"Aspire Biopharma Holdings, Inc.  - Warrant",0.06499999761581421
135,ASNS,"Actelis Networks, Inc. - Common Stock",0.7200000286102295
136,ASPCR,A SPAC III Acquisition Corp. - Right,0.17000000178813934
137,ASPS,Altisource Portfolio Solutions S.A. - Common Stock,0.8100000023841858
138,ASPSW,Altisource Portfolio Solutions S.A. - Net Settle Stakeholder Warrants,0.3479999899864197
139,ASPSZ,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants,0.35030001401901245
140,ASRT,"Assertio Holdings, Inc. - Common Stock",0.6700000166893005
141,ASRV,AmeriServ Financial Inc. - Common Stock,2.5
142,ASTI,"Ascent Solar Technologies, Inc - Common Stock",1.7100000381469727
143,ASYS,"Amtech Systems, Inc. - Common Stock",3.5199999809265137
144,ATAI,ATAI Life Sciences N.V. - Common Shares,1.649999976158142
145,ATER,"Aterian, Inc. - Common Stock",1.7599999904632568
146,ATHA,"Athira Pharma, Inc. - Common Stock",0.2720000147819519
147,ATHE,Alterity Therapeutics Limited - American Depositary Shares,3.990000009536743
148,ATLN,Atlantic International Corp. - Common Stock,2.5999999046325684
149,ATLX,Atlas Lithium Corporation - Common Stock,4.269999980926514
150,ATMCR,AlphaTime Acquisition Corp - Right,0.15000000596046448
151,ATMCW,AlphaTime Acquisition Corp - Warrant,0.020099999383091927
152,ATNF,180 Life Sciences Corp. - Common Stock,1.1799999475479126
153,ATNFW,180 Life Sciences Corp. - Warrant,0.006899999920278788
154,ATOS,"Atossa Therapeutics, Inc. - Common Stock",0.9700000286102295
155,ATPC,Agape ATP Corporation - Common Stock,2.049999952316284
156,ATXG,Addentax Group Corp. - Common Stock,0.6100000143051147
157,ATXS,"Astria Therapeutics, Inc. - Common Stock",3.9600000381469727
158,ATYR,"aTyr Pharma, Inc. - Common Stock",3.2699999809265137
159,AUROW,"Aurora Innovation, Inc.  - Warrant",1.3356000185012817
160,AUTL,Autolus Therapeutics plc - American Depositary Shares,1.3300000429153442
161,AUUD,Auddia Inc. - Common Stock,4.449999809265137
162,AUUDW,Auddia Inc. - Warrants,0.029999999329447746
163,AVIR,"Atea Pharmaceuticals, Inc. - common stock",2.740000009536743
164,AVR,Anteris Technologies Global Corp. - Common Stock,4.150000095367432
165,AVTX,"Avalo Therapeutics, Inc. - Common Stock",3.9100000858306885
166,AWRE,"Aware, Inc. - Common Stock",1.6399999856948853
167,AXTI,AXT Inc - Common Stock,1.4900000095367432
168,AYRO,"AYRO, Inc. - Common Stock",0.4000000059604645
169,AYTU,"Aytu BioPharma, Inc.  - Common Stock",2.130000114440918
170,AZI,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares,1.0299999713897705
171,BACQR,Bleichroeder Acquisition Corp. I - Right,0.2590000033378601
172,BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock",1.5199999809265137
173,BAERW,"Bridger Aerospace Group Holdings, Inc. - Warrant",0.06109999865293503
174,BANL,CBL International Limited - Ordinary Shares,1.0
175,BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,2.440000057220459
176,BBLG,Bone Biologics Corp - Common Stock,0.722000002861023
177,BCAB,"BioAtla, Inc. - Common Stock",0.4000000059604645
178,BCDA,"BioCardia, Inc. - Common Stock",2.440000057220459
179,BCG,"Binah Capital Group, Inc. - Common Stock",2.3499999046325684
180,BCLI,Brainstorm Cell Therapeutics Inc. - Common Stock,1.3200000524520874
181,BCTX,BriaCell Therapeutics Corp. - Common Shares,2.940000057220459
182,BCTXW,BriaCell Therapeutics Corp. - Warrant,0.06920000165700912
183,BCTXZ,BriaCell Therapeutics Corp. - Warrant,1.0099999904632568
184,BDMDW,Baird Medical Investment Holdings Ltd - Warrant,0.06449999660253525
185,BDRX,Biodexa Pharmaceuticals plc - American Depositary Shares,1.2799999713897705
186,BDSX,"Biodesix, Inc. - Common Stock",0.3009999990463257
187,BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",1.9500000476837158
188,BEAGR,Bold Eagle Acquisition Corp. - Right,0.29350000619888306
189,BEAT,"Heartbeam, Inc. - Common Stock",1.5499999523162842
190,BEEM,Beam Global - Common Stock,1.7000000476837158
191,BENF,Beneficient - Class A Common Stock,0.3179999887943268
192,BENFW,Beneficient - Warrant,0.006399999838322401
193,BFRG,"Bullfrog AI Holdings, Inc. - Common Stock",1.75
194,BFRGW,"Bullfrog AI Holdings, Inc. - Warrants",0.6000000238418579
195,BFRI,Biofrontera Inc. - Common Stock,0.6499999761581421
196,BFRIW,Biofrontera Inc. - Warrants,0.17499999701976776
197,BGFV,Big 5 Sporting Goods Corporation - Common Stock,1.3600000143051147
198,BGLC,BioNexus Gene Lab Corp - Common stock,2.8499999046325684
199,BHAT,Blue Hat Interactive Entertainment Technology - Ordinary Shares,1.8799999952316284
200,BIAF,"bioAffinity Technologies, Inc. - Common Stock",0.21199999749660492
201,BIOA,"BioAge Labs, Inc. - Common Stock",3.940000057220459
202,BIOX,Bioceres Crop Solutions Corp. - Ordinary Shares,4.650000095367432
203,BITF,Bitfarms Ltd. - Common Stock,1.149999976158142
204,BIVI,BioVie Inc. - Common stock,1.0299999713897705
205,BIYA,Baiya International Group Inc.  - Ordinary Shares,4.519999980926514
206,BJDX,"Bluejay Diagnostics, Inc. - Common Stock",1.7899999618530273
207,BKYI,"BIO-key International, Inc. - Common Stock",0.8299999833106995
208,BLBX,Blackboxstocks Inc. - Common Stock,3.4600000381469727
