,Date,Ticker,Dividend,Stock Price,Dividend Yield (%)
0,1973-02-28 00:00:00-05:00,AP,0.0675,,
1,1984-10-09 00:00:00-04:00,AP,0.075,,
2,1984-12-24 00:00:00-05:00,AP,0.075,,
3,1985-02-25 00:00:00-05:00,HL,0.05,,
4,1985-03-25 00:00:00-05:00,AP,0.075,,
5,1985-05-20 00:00:00-04:00,HL,0.05,,
6,1985-07-10 00:00:00-04:00,AP,0.075,,
7,1985-08-19 00:00:00-04:00,HL,0.05,,
8,1985-09-16 00:00:00-04:00,SUNE,0.044533335,,
9,1985-10-08 00:00:00-04:00,AP,0.075,,
10,1985-11-18 00:00:00-05:00,HL,0.05,,
11,1985-12-09 00:00:00-05:00,SUNE,0.044533335,,
12,1985-12-24 00:00:00-05:00,AP,0.075,,
13,1986-02-24 00:00:00-05:00,HL,0.05,,
14,1986-03-17 00:00:00-05:00,SUNE,0.044533335,,
15,1986-04-07 00:00:00-05:00,AP,0.075,,
16,1986-06-16 00:00:00-04:00,SUNE,0.1,,
17,1986-07-11 00:00:00-04:00,AP,0.075,,
18,1986-09-15 00:00:00-04:00,SUNE,0.1,,
19,1986-10-08 00:00:00-04:00,AP,0.075,,
20,1986-12-24 00:00:00-05:00,AP,0.075,,
21,1987-01-12 00:00:00-05:00,FARM,0.025,,
22,1987-02-02 00:00:00-05:00,NRT,0.57,,
23,1987-02-23 00:00:00-05:00,MARPS,0.281,,
24,1987-02-27 00:00:00-05:00,ASRV,0.073333,,
25,1987-03-02 00:00:00-05:00,LUMN,0.027654,,
26,1987-03-16 00:00:00-05:00,SUNE,15000.0,,
27,1987-04-06 00:00:00-04:00,AP,0.075,,
28,1987-04-10 00:00:00-04:00,TSI,0.03,,
29,1987-04-10 00:00:00-04:00,FARM,0.025,,
30,1987-04-24 00:00:00-04:00,CMU,0.045,,
31,1987-04-24 00:00:00-04:00,ELSE,0.044444,,
32,1987-05-04 00:00:00-04:00,NRT,0.49,,
33,1987-05-08 00:00:00-04:00,MMT,0.102,,
34,1987-05-22 00:00:00-04:00,LUMN,0.028313,,
35,1987-05-22 00:00:00-04:00,MARPS,0.325,,
36,1987-05-22 00:00:00-04:00,CMU,0.055,,
37,1987-05-26 00:00:00-04:00,IAF,0.1,,
38,1987-05-26 00:00:00-04:00,CIK,0.145,,
39,1987-06-01 00:00:00-04:00,ASRV,0.073333,,
40,1987-06-08 00:00:00-04:00,MMT,0.102,,
41,1987-06-10 00:00:00-04:00,TSI,0.13,,
42,1987-06-15 00:00:00-04:00,SUNE,18000.0,,
43,1987-06-24 00:00:00-04:00,CMU,0.055,,
44,1987-06-25 00:00:00-04:00,CIK,0.073,,
45,1987-07-09 00:00:00-04:00,MMT,0.102,,
46,1987-07-09 00:00:00-04:00,MGF,0.098,,
47,1987-07-13 00:00:00-04:00,AP,0.075,,
48,1987-07-13 00:00:00-04:00,FARM,0.025,,
49,1987-07-27 00:00:00-04:00,CIK,0.073,,
50,1987-07-27 00:00:00-04:00,CMU,0.057,,
51,1987-08-03 00:00:00-04:00,NRT,0.22,,
52,1987-08-10 00:00:00-04:00,MBI,0.013333,,
53,1987-08-10 00:00:00-04:00,MMT,0.102,,
54,1987-08-10 00:00:00-04:00,MGF,0.098,,
55,1987-08-10 00:00:00-04:00,TURN,0.03,,
56,1987-08-25 00:00:00-04:00,CMU,0.057,,
57,1987-08-25 00:00:00-04:00,MARPS,2.06,,
58,1987-08-26 00:00:00-04:00,CIK,0.075,,
59,1987-08-31 00:00:00-04:00,LUMN,0.028313,,
60,1987-09-09 00:00:00-04:00,MMT,0.102,,
61,1987-09-09 00:00:00-04:00,MGF,0.098,,
62,1987-09-10 00:00:00-04:00,TSI,0.13,,
63,1987-09-15 00:00:00-04:00,SUNE,90.0,,
64,1987-09-24 00:00:00-04:00,CMU,0.058,,
65,1987-09-25 00:00:00-04:00,CIK,0.075,,
66,1987-09-29 00:00:00-04:00,AVD,0.001653,,
67,1987-10-07 00:00:00-04:00,MMT,0.102,,
68,1987-10-07 00:00:00-04:00,MGF,0.098,,
69,1987-10-08 00:00:00-04:00,AP,0.075,,
70,1987-10-09 00:00:00-04:00,FARM,0.025,,
71,1987-10-26 00:00:00-05:00,CMU,0.059,,
72,1987-10-26 00:00:00-05:00,CIK,0.075,,
73,1987-11-02 00:00:00-05:00,NRT,0.52,,
74,1987-11-06 00:00:00-05:00,MMT,0.102,,
75,1987-11-06 00:00:00-05:00,MGF,0.098,,
76,1987-11-09 00:00:00-05:00,MBI,0.013333,,
77,1987-11-16 00:00:00-05:00,HL,0.05,,
78,1987-11-20 00:00:00-05:00,LUMN,0.028313,,
79,1987-11-23 00:00:00-05:00,CMU,0.06,,
80,1987-11-23 00:00:00-05:00,MARPS,0.381,,
81,1987-11-24 00:00:00-05:00,TURN,0.03,,
82,1987-11-24 00:00:00-05:00,CIK,0.075,,
83,1987-12-08 00:00:00-05:00,MMT,0.102,,
84,1987-12-08 00:00:00-05:00,MGF,0.098,,
85,1987-12-14 00:00:00-05:00,SUNE,18000.0,,
86,1987-12-15 00:00:00-05:00,TSI,0.13,,
87,1987-12-16 00:00:00-05:00,IAF,1.0,,
88,1987-12-24 00:00:00-05:00,TSI,0.025,,
89,1987-12-24 00:00:00-05:00,MMT,0.102,,
90,1987-12-24 00:00:00-05:00,MGF,0.099,,
91,1987-12-24 00:00:00-05:00,CMU,0.061,,
92,1987-12-24 00:00:00-05:00,CULP,0.010667,,
93,1987-12-24 00:00:00-05:00,CIK,0.075,,
94,1988-01-04 00:00:00-05:00,TEF,0.048146,,
95,1988-01-11 00:00:00-05:00,FARM,0.025,,
96,1988-01-25 00:00:00-05:00,CMU,0.062,,
97,1988-01-26 00:00:00-05:00,CIK,0.075,,
98,1988-02-02 00:00:00-05:00,AVD,0.004132,,
99,1988-02-08 00:00:00-05:00,MGF,0.098,,
100,1988-02-08 00:00:00-05:00,MMT,0.102,,
101,1988-02-08 00:00:00-05:00,NRT,0.45,,
102,1988-02-09 00:00:00-05:00,MBI,0.013333,,
103,1988-02-22 00:00:00-05:00,MARPS,0.428,,
104,1988-02-23 00:00:00-05:00,CMU,0.062,,
105,1988-02-24 00:00:00-05:00,CIK,0.075,,
106,1988-02-25 00:00:00-05:00,LUMN,0.028971,,
107,1988-03-08 00:00:00-05:00,MGF,0.098,,
108,1988-03-08 00:00:00-05:00,MMT,0.102,,
109,1988-03-09 00:00:00-05:00,TURN,0.03,,
110,1988-03-09 00:00:00-05:00,CATO,0.008889,,
111,1988-03-25 00:00:00-05:00,TSI,0.13,,
112,1988-03-25 00:00:00-05:00,CIK,0.075,,
113,1988-03-25 00:00:00-05:00,CMU,0.065,,
114,1988-04-04 00:00:00-04:00,AP,0.075,,
115,1988-04-06 00:00:00-04:00,CULP,0.010667,,
116,1988-04-11 00:00:00-04:00,FARM,0.025,,
117,1988-04-11 00:00:00-04:00,MGF,0.098,,
118,1988-04-11 00:00:00-04:00,MMT,0.102,,
119,1988-04-14 00:00:00-04:00,PPT,0.095,,
120,1988-04-25 00:00:00-04:00,CIK,0.075,,
121,1988-04-25 00:00:00-04:00,CMU,0.066,,
