,CHKR,OXSQ,VOC,USEA,FAT,MIND,NHTC,ABEV,LYG,MFG,NOK,BTG,SAN,PBI,CCEL,WHF,OFS,MRCC,PTMN,TPVG,CMBT,ZIM,OXLC,ECC,ORC,PSEC,TWO,AGNC,FSK,DX,NLY,INSW,MITT,SUNS,PBR,EFC,SDIV,QYLD,TRIN,ARLP,BCSF,RA,USA,GBDC,NMFC,PNNT,GSBD
CHKR,0.0013303990619879418,-1.1137469250172509e-05,9.492373518667492e-05,3.692194632286937e-05,-0.0001046497939725032,3.3984024464705325e-05,-9.710263468241167e-05,-0.00010098247193261407,-7.131784206044512e-05,5.893842756591505e-06,9.868424407342231e-06,-1.465288778778413e-05,-5.757466979172385e-05,8.346275737625718e-05,-0.00014095652129937595,3.5050009069839266e-06,-9.862602354117349e-05,-5.5865031959000375e-05,-1.6896804953676653e-05,-5.013300146079381e-05,-3.916047157257536e-05,8.957287891072479e-05,-3.3380540324495686e-06,-3.577212807102087e-05,-4.070793482437988e-05,-2.719610598829098e-05,-1.1260044654310356e-05,-1.5326228760243924e-05,-1.785904230701136e-05,-1.0213672237711149e-05,-2.080541399226484e-05,3.9575647510719094e-05,-2.7272265207372877e-05,8.820176050628133e-05,1.2855667555193449e-05,1.405329076717292e-05,-3.3383661903425775e-05,-2.472426931796743e-05,-4.059416005923947e-05,-4.490151787862842e-06,-1.972121979231339e-05,-1.567314571122037e-05,-1.5472061425391005e-05,-4.954697242549784e-07,8.879305213558919e-06,-5.4080665145220576e-05,-3.200003256936735e-05
OXSQ,-1.1137469250172509e-05,0.0001657550693143647,7.374961294034506e-05,8.406286220036803e-06,0.00013993043510813135,8.575649411717518e-05,5.0549630639440944e-05,5.0327258831019254e-05,7.819105568976718e-05,0.00010289722958341883,5.766188490411921e-05,3.7658820149615035e-05,8.344689516020764e-05,0.00010791841751570284,1.751457038618459e-05,5.861832985224703e-05,5.8740321412250917e-05,8.575599198667998e-05,5.663255836797764e-05,0.00010801925825735426,8.366032203793535e-05,9.365411781124055e-05,7.392395670913123e-05,6.855954696169113e-05,9.599219724728053e-05,9.995784254165188e-05,9.866540607852567e-05,8.511826925612965e-05,8.895270385232154e-05,7.418126926211976e-05,8.970000705969823e-05,3.9617104073197235e-05,8.834316179631249e-05,9.218190312345425e-05,6.839830748037592e-05,8.178090423336999e-05,6.240855617341164e-05,6.548752604423765e-05,7.537776229098083e-05,2.9530010096990725e-05,8.061460864169475e-05,4.074143402864095e-05,7.064256690134121e-05,7.234266442324168e-05,7.49611992069175e-05,9.682206476515354e-05,7.94404009879863e-05
VOC,9.492373518667492e-05,7.374961294034506e-05,0.0009036857219554069,0.00011954133241711147,0.00015630324963895382,0.0001619583680559693,-4.0450957985505086e-05,7.386598498777384e-05,6.840322212744265e-05,0.00017700818300319914,0.00012014277532215434,0.00011062989471084896,0.0001694758719874185,0.00017804436976007356,1.9121518208410053e-06,0.00012075954616842775,0.00010661875386112672,0.00015495929150475895,0.00010365801207381337,0.00017488331377513516,0.00019660354165741513,0.0003217137302832904,8.620744599785355e-05,0.00010420547381265968,0.00014168454366887494,0.0001623717927654155,0.00014711499648390947,9.354282111007393e-05,0.0001835108644124854,9.795701832868324e-05,0.00012068244649209263,0.00026961985261302193,0.00015309988569943983,0.00040122954318025036,0.00020879286931869428,0.00013634446003762198,0.0001362778000108112,0.00012602620220718362,0.00011819622516945692,0.00013464895700961225,0.00015829873471953992,5.6117408174372135e-05,9.643574517989326e-05,0.0001461179770979429,0.0001746018087654085,0.00014494101539961105,0.00015104109612536988
USEA,3.692194632286937e-05,8.406286220036803e-06,0.00011954133241711147,0.0005777051957004253,5.515752029243438e-05,6.555072753884896e-05,-5.004024516920788e-05,1.7840155750705612e-05,2.663487093963823e-05,5.5423213385924884e-05,1.744944980194098e-05,8.820913556745884e-05,4.0496941421371916e-05,6.618565931921384e-05,9.893477039224843e-05,1.2574465088257749e-05,4.877537205802371e-06,2.871695443270328e-05,5.621073402409779e-05,4.668880324724283e-05,0.00011858897964696303,6.225504669478742e-05,1.2355174633359123e-06,-1.2731647716079938e-05,4.262739187924311e-05,6.0513747803559305e-05,4.0766248408370035e-05,1.7275611115363635e-05,4.386317981746397e-05,2.9586334352596216e-05,1.7602373606995044e-05,8.680029637905325e-05,3.663436746577919e-05,6.943070904101816e-05,8.703075640168518e-05,3.8118580168159645e-05,4.8571448288182e-05,2.3404147957341052e-05,3.7705121137569545e-05,3.582402879060477e-05,4.933711077344075e-05,7.446851885785752e-06,2.6933774479814635e-05,3.711601717285139e-05,2.34214821341643e-05,3.348839629660833e-05,3.585232578744136e-05
FAT,-0.0001046497939725032,0.00013993043510813135,0.00015630324963895382,5.515752029243438e-05,0.00110717128206771,0.00023115315791738165,9.907427366412368e-05,8.981072313626245e-05,8.34092828486844e-05,0.0001877741783935053,0.00015185521723693604,2.9667450123644547e-05,0.0001555572938528879,0.0001569470942543994,0.0002308529197359463,3.9838660853877494e-05,8.562996416425737e-05,8.392809837784202e-05,0.00011336384767921854,0.00021700881002555282,0.00013206755938960493,0.00031171557507080885,0.000125162895159464,0.00010131201235982869,0.00017209498512931961,0.0001282935280408466,0.00020885298600796967,0.00016348524016189249,0.00017044553200966776,0.00012877348151690634,0.00017585807648612717,6.55645688459338e-05,0.00017343681507986229,0.0001167589492021452,0.00013985574429927123,0.00013821806018688576,0.00011608478079844818,0.00012602121093925313,0.00013263979176509605,1.0097394586882525e-05,0.00014003477355222814,4.9570000143066794e-05,0.0001345674430700454,0.00013099665000782676,0.0001454637662615167,0.00015679022310777072,0.00012770697750165135
MIND,3.3984024464705325e-05,8.575649411717518e-05,0.0001619583680559693,6.555072753884896e-05,0.00023115315791738165,0.0025414358144439765,-5.0653371011937045e-05,7.738970953370097e-05,0.00015299257217594471,0.00016695911754557657,0.0001306304429113003,8.369431501711052e-05,3.361168905722202e-05,0.00026858195881538803,7.191180462819918e-05,7.239042591191776e-05,9.696984115726193e-05,0.00012734912195696378,0.00010004967803757749,0.00011848451300464086,0.0001477543794289103,0.00014001371435947758,0.00012103213009986894,6.608671021933503e-05,0.00012177708876848664,8.926191041352977e-05,0.00010958391677780567,0.00010856869153623914,0.00014624726506766718,8.621382364215935e-05,0.00011012327093804158,5.646161133015411e-05,8.002813562929736e-05,8.023581476677786e-05,0.0002102001887048993,7.991888184620067e-05,9.448441087778958e-05,0.00013911979560806266,8.984544043347741e-05,9.450082877155356e-05,0.00011018337085906697,5.023436399215074e-05,0.00010081454160880952,0.00015492039611456602,0.00014729808482016847,0.000135081994600043,0.00013148927252595969
NHTC,-9.710263468241167e-05,5.0549630639440944e-05,-4.0450957985505086e-05,-5.004024516920788e-05,9.907427366412368e-05,-5.0653371011937045e-05,0.0005956067887153791,3.9070795492603305e-05,5.816644077727912e-05,6.604390661621097e-05,7.626946357889735e-05,4.713288569144672e-05,3.852814460923534e-05,5.2872625780435586e-05,0.0001801953470434917,1.5900291562484016e-05,7.4226913002195885e-06,2.5930036649632264e-05,1.9827973689670882e-05,1.3332614655444969e-05,6.21974766968546e-06,7.932262939237502e-05,3.4389262919238144e-05,1.0108141743242115e-05,5.080584316235725e-05,3.737351651590914e-05,7.819842524546528e-05,5.096104422541861e-05,1.5697238517008802e-05,4.0440718187539434e-05,4.1143090102923294e-05,-2.8228730704168796e-06,3.387850351410968e-05,3.2389216067536063e-06,6.177189856478465e-05,3.9071646458135794e-05,3.591412306754362e-05,1.919118197351401e-05,2.13237920871721e-05,-5.522455616743822e-05,3.598536291762389e-05,1.8854099056995323e-05,2.973234590379991e-05,2.3688916029873754e-05,2.9833013881917433e-05,2.0812538579033185e-05,-2.056541086299867e-06
ABEV,-0.00010098247193261407,5.0327258831019254e-05,7.386598498777384e-05,1.7840155750705612e-05,8.981072313626245e-05,7.738970953370097e-05,3.9070795492603305e-05,0.0003475637856128696,0.00012678185309576058,0.0001231908895100067,9.961620447839896e-05,5.955036465232032e-05,0.00010882101624900566,8.547219485883924e-05,6.88187631351271e-05,6.567370675345783e-05,5.347353317758232e-05,9.663172884229173e-05,6.355500266235938e-05,9.245458692424386e-05,9.43429182875115e-05,3.297571214312034e-05,5.3588340764206975e-05,6.552382923543381e-05,9.98319132732839e-05,6.524452798449136e-05,0.0001103618805619803,7.083841451323941e-05,6.628265246200664e-05,7.402620102025437e-05,8.181748258774843e-05,4.768979980788788e-05,8.843965973513632e-05,7.505436469994111e-05,0.0001477881644928078,7.198651951380861e-05,9.111448966108185e-05,5.3843820436969656e-05,5.679091627514463e-05,2.7436944734229225e-05,6.633134259317082e-05,2.4469388545809526e-05,6.366253409390978e-05,6.697557121164138e-05,6.29509453628715e-05,9.363626129952462e-05,6.524092879990323e-05
LYG,-7.131784206044512e-05,7.819105568976718e-05,6.840322212744265e-05,2.663487093963823e-05,8.34092828486844e-05,0.00015299257217594471,5.816644077727912e-05,0.00012678185309576058,0.0004274775476949067,0.0002436010872228867,0.00016299066856092603,0.00018232259463328552,0.00028024338171176783,0.00023267204835325517,3.9747263395580436e-05,6.758292899857692e-05,7.376592951592614e-05,0.00010451965941617603,8.634777188495201e-05,0.00013517357767133288,0.0001335831110529586,0.00018765998682451657,0.00012493067279641655,0.0001229632443657845,0.0001231698424294353,0.00014811630900036366,0.00016031221519430199,0.00011428852662417745,0.00012887136021524776,0.00010774540215805267,0.00013314514145114833,0.00010522842077843467,0.00014405138500843043,0.0001344239058355453,0.00011897756703449253,0.00012412299098554292,0.00013725219649925695,0.00014620856185581268,9.740275438521724e-05,0.0001049875892031317,0.00012442632679850654,5.426169668507428e-05,0.00012275051811641701,0.00011489217771959198,9.652708124089126e-05,0.00013681706731265373,0.00011463974049493521
MFG,5.893842756591505e-06,0.00010289722958341883,0.00017700818300319914,5.5423213385924884e-05,0.0001877741783935053,0.00016695911754557657,6.604390661621097e-05,0.0001231908895100067,0.0002436010872228867,0.0006526153277699901,0.00015137428315383324,0.0001719309371356083,0.00026806788010149687,0.0002764024590930764,5.861603377489929e-07,0.000101296461380601,0.0001228293769953942,0.00015276907604329102,0.00012588950383355725,0.00018753274002957025,0.0001471761326295328,0.0002975394144209011,0.0001765068739375517,0.0001689074640144638,0.0001557208457477996,0.00017793910197246005,0.00015958019338572745,0.00012712622797249402,0.0001690595414760287,0.0001302603974414276,0.00014903442681618213,0.0001994399284982556,0.00019303065461965477,0.00023355091979190997,0.000163373417194988,0.0001326559395401556,0.00015637940671328314,0.00019336824422444044,0.00012404656894637322,0.000146165890415623,0.00016931865561812357,7.797149481274173e-05,0.00015143354177480167,0.0001614233251128842,0.00014177930284177396,0.00017814961965501746,0.00014444691991537408
